Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
1E0A	Ḋ	uni1E0A	LATIN CAPITAL LETTER D WITH DOT ABOVE	
1E0B	ḋ	uni1E0B	LATIN SMALL LETTER D WITH DOT ABOVE	
1E32	Ḳ	uni1E32	LATIN CAPITAL LETTER K WITH DOT BELOW	
1E33	ḳ	uni1E33	LATIN SMALL LETTER K WITH DOT BELOW	
1E44	Ṅ	uni1E44	LATIN CAPITAL LETTER N WITH DOT ABOVE	
1E45	ṅ	uni1E45	LATIN SMALL LETTER N WITH DOT ABOVE	
1E46	Ṇ	uni1E46	LATIN CAPITAL LETTER N WITH DOT BELOW	
1E47	ṇ	uni1E47	LATIN SMALL LETTER N WITH DOT BELOW	
1E48	Ṉ	uni1E48	LATIN CAPITAL LETTER N WITH LINE BELOW	
1E49	ṉ	uni1E49	LATIN SMALL LETTER N WITH LINE BELOW	
1E58	Ṙ	uni1E58	LATIN CAPITAL LETTER R WITH DOT ABOVE	
1E59	ṙ	uni1E59	LATIN SMALL LETTER R WITH DOT ABOVE	
1E5A	Ṛ	uni1E5A	LATIN CAPITAL LETTER R WITH DOT BELOW	
1E5B	ṛ	uni1E5B	LATIN SMALL LETTER R WITH DOT BELOW	
1E6A	Ṫ	uni1E6A	LATIN CAPITAL LETTER T WITH DOT ABOVE	
1E6B	ṫ	uni1E6B	LATIN SMALL LETTER T WITH DOT ABOVE	
1E88	Ẉ	uni1E88	LATIN CAPITAL LETTER W WITH DOT BELOW	
1E89	ẉ	uni1E89	LATIN SMALL LETTER W WITH DOT BELOW	
1EF4	Ỵ	uni1EF4	LATIN CAPITAL LETTER Y WITH DOT BELOW	
1EF5	ỵ	uni1EF5	LATIN SMALL LETTER Y WITH DOT BELOW	
0304	̄	uni0304	COMBINING MACRON	
0324	̤	uni0324	COMBINING DIAERESIS BELOW	
0053,0304	S̄	uni00530304	LATIN CAPITAL LETTER S, COMBINING MACRON	optional: combined
0054,0324	T̤	uni00540324	LATIN CAPITAL LETTER T, COMBINING DIAERESIS BELOW	optional: combined
005A,0304	Z̄	uni005A0304	LATIN CAPITAL LETTER Z, COMBINING MACRON	optional: combined
005A,0324	Z̤	uni005A0324	LATIN CAPITAL LETTER Z, COMBINING DIAERESIS BELOW	optional: combined
0073,0304	s̄	uni00730304	LATIN SMALL LETTER S, COMBINING MACRON	optional: combined
0074,0324	t̤	uni00740324	LATIN SMALL LETTER T, COMBINING DIAERESIS BELOW	optional: combined
007A,0304	z̄	uni007A0304	LATIN SMALL LETTER Z, COMBINING MACRON	optional: combined
007A,0324	z̤	uni007A0324	LATIN SMALL LETTER Z, COMBINING DIAERESIS BELOW	optional: combined
0062,035F,0068	b͟h	uni0062035F0068	LATIN SMALL LETTER B, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0067,035F,0068	g͟h	uni0067035F0068	LATIN SMALL LETTER G, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
006A,035F,0068	j͟h	uni006A035F0068	LATIN SMALL LETTER J, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
006B,035F,0068	k͟h	uni006B035F0068	LATIN SMALL LETTER K, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
006C,035F,0068	l͟h	uni006C035F0068	LATIN SMALL LETTER L, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
006E,035F,0068	n͟h	uni006E035F0068	LATIN SMALL LETTER N, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0070,035F,0068	p͟h	uni0070035F0068	LATIN SMALL LETTER P, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0074,035F,0068	t͟h	uni0074035F0068	LATIN SMALL LETTER T, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
010F,035F,0068	ď͟h	uni010F035F0068	LATIN SMALL LETTER D WITH CARON, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0063,035F,0068,035F,0068	c͟h͟h	uni0063035F0068035F0068	LATIN SMALL LETTER C, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0129	ĩ	itilde	LATIN SMALL LETTER I WITH TILDE	optional: IPA
014B	ŋ	eng	LATIN SMALL LETTER ENG	optional: IPA; also in AAR3R
0169	ũ	utilde	LATIN SMALL LETTER U WITH TILDE	optional: IPA
1EBD	ẽ	uni1EBD	LATIN SMALL LETTER E WITH TILDE	optional: IPA
0252	ɒ	uni0252	LATIN SMALL LETTER TURNED ALPHA	optional: IPA
0254	ɔ	uni0254	LATIN SMALL LETTER OPEN O	optional: IPA
0256	ɖ	uni0256	LATIN SMALL LETTER D WITH TAIL	optional: IPA
0259	ə	uni0259	LATIN SMALL LETTER SCHWA	optional: IPA; also in AAR3R
025B	ɛ	uni025B	LATIN SMALL LETTER OPEN E	optional: IPA; also in AAR3R
0261	ɡ	uni0261	LATIN SMALL LETTER SCRIPT G	optional: IPA; also in AAR3R
0266	ɦ	uni0266	LATIN SMALL LETTER H WITH HOOK	optional: IPA
0273	ɳ	uni0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	optional: IPA
0279	ɹ	uni0279	LATIN SMALL LETTER TURNED R	optional: IPA
027D	ɽ	uni027D	LATIN SMALL LETTER R WITH TAIL	optional: IPA
0288	ʈ	uni0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	optional: IPA
028B	ʋ	uni028B	LATIN SMALL LETTER V WITH HOOK	optional: IPA
02A7	ʧ	uni02A7	LATIN SMALL LETTER TESH DIGRAPH	optional: IPA; also in AAR3R
02B1	ʱ	uni02B1	MODIFIER LETTER SMALL H WITH HOOK	optional: IPA
032A	̪	uni032A	COMBINING BRIDGE BELOW	optional: IPA
0251,0303	ɑ̃	uni02510303	LATIN SMALL LETTER ALPHA, COMBINING TILDE	optional: IPA, combined
0254,0303	ɔ̃	uni02540303	LATIN SMALL LETTER OPEN O, COMBINING TILDE	optional: IPA, combined
